League;Date;Get;Pay;Value;Confidence
Blight;2019-12-09;Armourer's Scrap;Chaos Orb;0.04759;High
Blight;2019-09-06;Blacksmith's Whetstone;Chaos Orb;1;High
Blight;2019-09-07;Blacksmith's Whetstone;Chaos Orb;0.1;High
Blight;2019-09-08;Blacksmith's Whetstone;Chaos Orb;0.06494;High
Blight;2019-09-09;Blacksmith's Whetstone;Chaos Orb;0.04762;High
Blight;2019-09-10;Blacksmith's Whetstone;Chaos Orb;0.05;High
Blight;2019-09-11;Blacksmith's Whetstone;Chaos Orb;0.04773;High
Blight;2019-09-12;Blacksmith's Whetstone;Chaos Orb;0.05502;High
Blight;2019-09-13;Blacksmith's Whetstone;Chaos Orb;0.05646;High
Blight;2019-09-14;Blacksmith's Whetstone;Chaos Orb;0.06667;High
Blight;2019-09-15;Blacksmith's Whetstone;Chaos Orb;0.06846;High
Blight;2019-09-16;Blacksmith's Whetstone;Chaos Orb;0.06655;High
Blight;2019-09-17;Blacksmith's Whetstone;Chaos Orb;0.06667;High
Blight;2019-09-18;Blacksmith's Whetstone;Chaos Orb;0.06282;High
Blight;2019-09-19;Blacksmith's Whetstone;Chaos Orb;0.06088;High
Blight;2019-09-20;Blacksmith's Whetstone;Chaos Orb;0.05556;High
Blight;2019-09-21;Blacksmith's Whetstone;Chaos Orb;0.05827;High
Blight;2019-09-22;Blacksmith's Whetstone;Chaos Orb;0.05539;High
